nom;pays;lat;long
Tandarei;RO;44.648872;27.643867
Cacak;RS;43.890454;20.354788
Babar;HR;45.596090;14.646315
Sadca;SK;49.444167;18.786389
Zagan;PL;51.604248;15.315623
Vaglin;HR;45.34985;17.98791
Rajkovci;HR;45.19558;18.372979
Cakovec;HR;46.389738;16.437965
Capljina;BA;43.109845;17.698119
Cara;HR;42.935697;16.935200
Zary;PL;51.634749;15.136962
Cáslav;CZ;49.914973;15.394518
Castolovice;CZ;50.128352;16.173844
Catež ob Savi;SI;45.891867;15.603269
Cazma;HR;45.749311;16.615971
Leba;PL;54.760117;17.556312
Cehaje;BA;44.718423;18.492940
Cehovec;HR;46.360824;16.618818
Celarevo;RS;45.271373;19.521945
Celina;HR;43.409347;16.748714
Cepin;HR;45.523806;18.577289
Cercany;CZ;49.851434;14.702051
Cerná v Pošumaví;CZ;48.738102;14.109135
Cervar-Porat;HR;45.273737;13.600373
Cervená Voda;CZ;50.031105;16.747360
Ceská Kamenice;CZ;50.795868;14.414092
Ceská Lípa hl.n.;CZ;50.679079;14.540950
Ceská Metuje;CZ;50.552340;16.184631
Ceská Trebová;CZ;49.897323;16.446807
Ceské Budejovice;CZ;48.974616;14.488750
Ceské Velenice;CZ;48.769623;14.957364
Ceský Krumlov;CZ;48.817139;14.308250
Ceský Tešín;CZ;49.743626;18.622847
Cetenice;CZ;50.642645;13.800922
Rícenice;CZ;49.153576;14.221632
Ricevac;RS;43.721258;21.443665
Ribaša;HR;42.627481;18.167522
Cierna nad Tisou;SK;48.419991;22.087089
Ríkovice;CZ;49.379005;17.453698
Chimelice;CZ;49.470355;14.076594
Citluk;BA;43.226249;17.695528
Rížova;CZ;49.353744;14.097735
Kync;CZ;49.115034;13.829061
Snin;PL;52.849580;17.719920
Lódz;PL;51.759249;19.455983
Lódz Chojny;PL;51.726248;19.484457
Lódz Fabryczna;PL;51.769151;19.469028
Lódz Kaliska;PL;51.757416;19.430884
Lomza;PL;53.173875;22.067672
Zory;PL;50.045230;18.700620
Lowicz;PL;52.106792;19.945374
Bret;HR;46.116471;15.813280
Crnkovci;HR;45.707100;18.296000
Cuba;HR;45.408526;13.532481
Lukowo;PL;54.342301;18.358526
Tuncuiu?;RO;46.948718;22.537242
Žunski;HR;44.589192;14.409346
Ðurdevic;HR;46.039876;17.071450
Swidnica;PL;50.843780;16.488590
Swiebodzin;PL;52.245143;15.539535
Swiebodzin (Dabrowa);PL;50.257300;20.901320
Swieca;PL;51.545458;17.704651
Swiecie;PL;53.409384;18.447386
Swinoujscie;PL;53.903725;14.264199
Swinoujscie Centrum;PL;53.912993;14.236000
Zywiec;PL;49.691300;19.182398
’s-Hertogenbosch;NL;51.690671;5.293801
’s-Hertogenbosch Oost;NL;51.700559;5.317389
’t Harde;NL;52.409107;5.892941
A Alberguería-Prado;ES;42.125700;-7.512600
A Amarela;ES;42.936374;-9.208580
A Áspera;ES;42.589664;-7.484864
A Barosela;ES;42.568332;-8.605764
A Barrela;ES;42.539661;-7.814721
A Bola;ES;42.156594;-7.905869
A Cañiza;ES;42.212886;-8.272978
A Carqueixa;ES;42.439136;-7.582566
A Coruna;ES;43.3623;-8.4115
A Coruña;ES;43.3623;-8.4115
A Coruña-San Cristovo;ES;43.352681;-8.409651
A Derrasa;ES;42.322138;-7.786581
A Escravitude;ES;42.739;-8.65259
A Estrada;ES;42.753843;-8.381322
A Fraga;ES;42.312900;-8.726750
A Friela-Maside;ES;42.411637;-8.028661
A Gudiña;ES;42.060841;-7.132482
A Gudiña – Porta de Galicia;ES;42.06367;-7.13436
A Igrexa;ES;42.47186;-8.60106
A Lanzada;ES;42.42798;-8.87127
A Madanela;ES;41.917;-7.58832
A Mezquita;ES;42.011848;-7.044964
A Mezquita-Vilavella;ES;42.0442;-7.01972
A Pedrosa;ES;41.92397;-7.64493
A Picaraña;ES;42.801736;-8.638223
A Pobra de Trives;ES;42.340494;-7.251694
A Pobra do Brollón;ES;42.533714;-7.399964
A Pobra do Caramiñal;ES;42.603166;-8.938690
A Ponte do Porto;ES;43.137312;-9.115046
A Ponte do Vao;ES;42.961759;-7.477696
A Ponte Nafonso;ES;42.825006;-8.875574
A Pontenova;ES;43.34948;-7.19458
A Pousa;ES;41.974380;-7.92898
A Rúa-Petín;ES;42.392561;-7.11329
A S Eidelstedt Hamburg;DE;53.59609;9.905429
A Saceda;ES;41.93461;-7.63065
A Salgueira;ES;41.92854;-7.52466
A Teixeira;ES;42.373055;-7.480838
A Tolda;ES;42.512439;-7.871565
A Torre;ES;42.36315;-8.72589
A Vila da Igrexa;ES;43.186284;-8.46486
A Xironda;ES;41.898678;-7.639325
Aabenraa;DK;55.040852;9.415159
Aachen;DE;50.77607;6.08378
Aachen Hbf;DE;50.767802;6.091495
Aachen Schanz;DE;50.769861;6.07384
Aachen Süd (Gr);DE;50.731917;6.045407
Aachen West;DE;50.78036;6.070712
Aachen-Rothe Erde;DE;50.770202;6.116476
Aadorf;CH;47.488118;8.903284
Aadorf Matthofstrasse;CH;47.48514;8.904606
Aadorf Morgental;CH;47.49394;8.896148
Aadorf Zentrum;CH;47.491082;8.899411
Aalborg;DK;57.0488;9.9217
Aalborg St.;DK;57.043127;9.916486
Aalen;DE;48.841009;10.09627
Aalfang Bahnhof;AT;48.842607;15.068901
Aalhoop Beldorf;DE;54.12075;9.357861
Aalsmeer;NL;52.258671;4.784990
Aalst;BE;50.942786;4.039230
Aalst-Kerrebroek;BE;50.948377;4.024407
Aalten;NL;51.921327;6.578627
Aalter;BE;51.091980;3.449044
Aarau;CH;47.3925;8.0442
Aarau Aarenau;CH;47.401558;8.04913
Aarau Aarepark;CH;47.396335;8.041318
Aarau Achenbergstrasse;CH;47.399275;8.046074
Aarau Allmendweg;CH;47.391958;8.037669
Aarau Alte Badanstalt;CH;47.39541;8.031259
Aarau Bahnhof;CH;47.392029;8.050864
Aarau Bavaria;CH;47.390304;8.063117
Aarau Berufsschule;CH;47.397028;8.055036
Aarau Binzenhofstrasse;CH;47.379355;8.04673
Aarau Buchenhof;CH;47.387544;8.050703
Aarau Dammweg;CH;47.385917;8.033758
Aarau Delfterstrasse;CH;47.398762;8.062281
Aarau Dossenstrasse;CH;47.382834;8.046218
Aarau Dufourstrasse;CH;47.385063;8.052501
Aarau Friedhof;CH;47.388632;8.046802
Aarau Gais;CH;47.391274;8.05607
Aarau General Guisanstrasse;CH;47.378402;8.055422
Aarau Hans Hässigstrasse;CH;47.380496;8.049858
Aarau Heinerich-Wirri-Strasse;CH;47.383454;8.053903
Aarau Herzogplatz;CH;47.387364;8.055593
Aarau Hirslanden Klinik;CH;47.391328;8.041876
Aarau Holzmarkt;CH;47.392128;8.045525
Aarau Ifang;CH;47.38758;8.038721
Aarau Käfergrund;CH;47.3794;8.052258
Aarau Kasinopark;CH;47.392146;8.046865
