origine,destination,couleur
.KHǉZR,Bydgoszcz Torun,vert
.KHǉZR,Tczew,vert
1 2 3,Alexandroupolis,rouge
1 2 3,Kavala,rouge
1 2 3,Kavala,violet
1 2 3,Komotini,rouge
10h,Denmark,rouge
10h,Denmark,violet
12h,16h,rouge
12h,Mariehamn Espoo,vert
14h30,Randers,rouge
16h,17h,rouge
16h,6h30min,rouge
16h,Ionian Sea,rouge
16h,Katakolo,rouge
16h,Katakolo,vert
16h,Keila Paldiski Kloogaranna,vert
16h,Siracusa,rouge
17h,9h30,rouge
17h,9h30min,rouge
17h,Ventspils,rouge
17h,Ventspils,vert
28h30min,Hel,rouge
28h30min,Hel,vert
3h20,14h30,rouge
3h45,Kristiansand,rouge
3h45,Skagen,rouge
4h25 min 14h30min,København Kalundborg København,vert
4h30 min,12h,vert
4h30 min,17h,rouge
4h30 min,Mariehamn Espoo,vert
5h30,Belarus,violet
6h30min,16h,rouge
6h30min,Katakolo,rouge
7YaLT`ǋS 7YaLT`ǋS,Medzilaborce,rouge
7YaLT`ǋS 7YaLT`ǋS,Medzilaborce,violet
7YaLT`ǋS 7YaLT`ǋS,Zagórz,violet
9h30,Västervik,rouge
9h30min,Gotland,rouge
9h30min,Ventspils,rouge
9h30min,Västervik,rouge
9h30min 13h,Palermo,vert
Adana,Iskenderun,rouge
Adana,Tarsus,vert
Adapazarı,Ankara,rouge
Adapazarı,Eski  ehir,rouge
Adjud,Focșani,violet
Aegean Sea,Alonissos,rouge
Aegean Sea,Alonissos,vert
Aegean Sea,Lesvos,rouge
Aegean Sea,Volos,rouge
Afyon,Kütahaya,rouge
Agrigento,Malta,rouge
Agrigento,Malta,vert
Albania,Bar,vert
Albania,Corfu,vert
Alexandria Alexandria,Bulgaria,rouge
Alexandroupolis,Aegean Sea,rouge
Alonissos,Chalkis,rouge
Alonissos,Chios,rouge
Alonissos,Chios,vert
Alvesta,Berga,rouge
Alﬁos Olympia,Chania,rouge
Amasya,Sivas,vert
Andros,Tinos,rouge
Ankara,Adapazarı,rouge
Ankara,Turkey,rouge
Arad,Stara Pazova,violet
Arendal,Kristiansand,rouge
Arlanda  Arlanda,17h,vert
Arlanda  Arlanda,Nynäshamn,rouge
Bacau,Adjud,vert
Bacau,Tecuci,rouge
Bacau,Tecuci,vert
Bacau,Tecuci,violet
Baia Mare,Jibou,violet
Baia Mare,Salva,vert
