nom,code_iso_pays,latitude,longitude
Erstfeld,CH,46.8186,8.6500
Titlis,CH,46.7720,8.4370
Pasewalk,DE,53.5220,14.1390
Angermünde,DE,53.0420,14.2740
Züssow,DE,53.9020,13.7540
Binz,DE,54.3970,13.5900
Barth,DE,54.3900,12.6660
Zittau,DE,50.8980,14.8070
Tinglev,DK,54.9650,9.3830
Mönchengladbach,DE,51.1800,6.4420
Bonn,DE,50.7374,7.0982
Heidelberg,DE,49.3988,8.6724
Darmstadt,DE,49.8728,8.6512
Ingolstadt,DE,48.7660,11.4257
Treuchtlingen,DE,48.9500,10.9667
Buchloe,DE,47.8880,10.6660
Memmingen,DE,47.9860,10.1810
Meiningen,DE,50.5670,10.4330
Halberstadt,DE,51.8970,11.0550
Merano,IT,46.6670,11.1620
Haarlem,NL,52.3874,4.6462
Grenaa,DK,56.4455,10.7015
Haparanda,SE,65.8359,24.1420
Gävle,SE,60.6749,17.1410
Västerås,SE,59.6090,16.5440
Eskilstuna,SE,59.3720,16.5090
Borlänge,SE,60.4869,15.4300
Kristinehamn,SE,59.3144,14.0961
Hajnówka,PL,52.7410,23.5810
Zagórz,PL,49.4740,22.5800
Rzeszów,PL,50.0413,21.9990
Bydgoszcz,PL,53.1235,18.0084
Toruń,PL,53.0138,18.5984
Inowrocław,PL,52.7950,18.2630
Kutno,PL,52.2310,19.3640
Białystok,PL,53.1325,23.1688
Częstochowa,PL,50.8118,19.1203
Halkalı,TR,41.0035,28.7211
Hallsberg,SE,59.1293,15.1250
Motala,SE,58.5413,15.0360
Frederikshavn,DK,57.4400,10.5360
Roskilde,DK,55.6415,12.0803
Drammen,NO,59.7439,10.2043
Halmstad,SE,56.6745,12.8573
Varberg,SE,57.1051,12.2506
Hanko,FI,59.8260,22.9630
Mariehamn,AX,60.0970,19.9340
Savonlinna,FI,61.8690,28.8820
Jyväskylä,FI,62.2415,25.7203
Kokemäki,FI,61.2760,22.3680
Pori,FI,61.4850,21.7970
Imatra,FI,61.1740,28.7880
Kotka,FI,60.4660,26.9450
Hyvinkää,FI,60.6330,24.8560
Espoo,FI,60.2050,24.6550
Kouvola,FI,60.8670,26.7040
Kalundborg,DK,55.6833,11.0960
Fredericia,DK,55.5650,9.7520
Odense,DK,55.4038,10.4024
Kolding,DK,55.4900,9.4720
København,DK,55.6761,12.5683
Hirtshals,DK,57.5900,9.9760
Hjørring,DK,57.4600,9.9820
Thisted,DK,56.9595,8.6940
Skövde,SE,58.3839,13.8467
Göteborg,SE,57.7089,11.9746
Norrköping,SE,58.5877,16.1923
Nyköping,SE,58.7540,17.0070
Hässleholm,SE,56.1575,13.7667
Kalmar,SE,56.6620,16.3610
Karlskrona,SE,56.1619,15.5866
Kristianstad,SE,56.0312,14.1526
Simrishamn,SE,55.5569,14.3514
Ystad,SE,55.4294,13.8200
Karlshamn,SE,56.1702,14.8611
Helsingborg,SE,56.0465,12.6945
Helsingør,DK,56.0330,12.6133
Västervik,SE,57.7571,16.6471
Oslo,NO,59.9139,10.7522
Moss,NO,59.4342,10.6570
Halden,NO,59.1310,11.3870
Sarpsborg,NO,59.2830,11.1090
Kongsvinger,NO,60.1850,11.9630
Charlottenberg,SE,59.8950,12.1540
Roa,NO,60.3120,10.6560
Kristiansand,NO,58.1467,7.9956
Larvik,NO,59.0510,10.0340
Sandefjord,NO,59.1300,10.2160
Arendal,NO,58.4560,8.7720
Stavanger,NO,58.9690,5.7330
Hønefoss,NO,60.1670,10.2560
Kongsberg,NO,59.5890,9.6680
Neslandsvatn,NO,59.4640,8.2500
Nordagutu,NO,59.4660,9.0620
Egersund,NO,58.4500,5.9980
Strömstad,SE,58.9110,11.1760
Jönköping,SE,57.7826,14.1562
Nässjö,SE,57.6484,14.6803
Eksjö,SE,57.5540,14.9500
Borås,SE,57.7211,12.9400
Alvesta,SE,56.8790,14.5530
Örebro,SE,59.2750,15.2130
Stockholm,SE,59.3293,18.0686
Uppsala,SE,59.8586,17.6389
... (plusieurs milliers de lignes supplémentaires)
