id;name;slug;uic;uic8_sncf;latitude;longitude;parent_station_id;hub_id;country;time_zone
;Ch�teau-Arnoux � St-Auban;chateau-arnoux-st-auban;;;44.081790;6.001625;;;FR;Europe/Paris
;name;slug;;;latitude;longitude;;;;Europe/Paris
;Aéroport Charles de Gaulle 2 TGV;Aeroport Charles de Gaulle 2;;;49.0040156;2.5711085;;;FR;Europe/Paris
;Abancourt;Abancourt;;;49.6977145;1.7646826;;;FR;Europe/Paris
;Abbeville;Abbeville;;;50.1060835;1.8337029;;;FR;Europe/Paris
;Ã‰gletons;A‰gletons;;;45.4065225;2.0450180;;;FR;Europe/Paris
;Ã‰pernay;A‰pernay;;;47.4448900;0.4868883;;;FR;Europe/Paris
;Ã‰pierre - Saint-LÃ©ger;A‰pierre - Saint-LA©ger;;;47.2187205;-1.5498947;;;FR;Europe/Paris
;Ã‰pinal;A‰pinal;;;44.6433903;5.7637402;;;FR;Europe/Paris
;Ã‰vian-les-Bains;A‰vian-les-Bains;;;45.7090328;5.8943117;;;FR;Europe/Paris
;Agen;Agen;;;44.2015827;0.6176112;;;FR;Europe/Paris
;Aillevillers;Aillevillers;;;47.9138972;6.3373124;;;FR;Europe/Paris
;Aiton-Salle-Polyvalente;Aiton-Salle-Polyvalente;;;45.5628531;6.2501736;;;FR;Europe/Paris
;Aix-en-Provence;Aix-en-Provence;;;43.5298424;5.4474738;;;FR;Europe/Paris
;Aix-en-Provence TGV;Aix-en-Provence;;;43.5298424;5.4474738;;;FR;Europe/Paris
;Aix-les-Bains le Revard;Aix-les-Bains le Revard;;;45.6881380;5.9089276;;;FR;Europe/Paris
;Alès;Ales;;;44.1253665;4.0852818;;;FR;Europe/Paris
;Albert;Albert;;;50.0018022;2.6509223;;;FR;Europe/Paris
;Albertville;Albertville;;;45.6754622;6.3925417;;;FR;Europe/Paris
;Albi Ville;Albi Ville;;;43.9224030;2.1379469;;;FR;Europe/Paris
;Alençon;Alencon;;;48.4312059;0.0911374;;;FR;Europe/Paris
;Altkirch;Altkirch;;;47.6238204;7.2401542;;;FR;Europe/Paris
;Ambérieu-en-Bugey;Amberieu-en-Bugey;;;45.9584309;5.3595099;;;FR;Europe/Paris
;Amiens;Amiens;;;49.8941708;2.2956951;;;FR;Europe/Paris
;Ancenis;Ancenis;;;47.3648141;-1.1816088;;;FR;Europe/Paris
;Andelot;Andelot;;;46.8593999;5.9236614;;;FR;Europe/Paris
;Angers Saint-Laud;Angers Saint-Laud;;;47.4643613;-0.5562093;;;FR;Europe/Paris
;Angerville;Angerville;;;49.2430262;-0.0328008;;;FR;Europe/Paris
;Angoulême;Angouleme;;;45.6484505;0.1561947;;;FR;Europe/Paris
;Annecy;Annecy;;;45.8992348;6.1288847;;;FR;Europe/Paris
;Annemasse;Annemasse;;;46.1934005;6.2341093;;;FR;Europe/Paris
;Annonay-Gare Routière;Annonay- Routiere;;;45.2434488;4.6686386;;;FR;Europe/Paris
;Appenweier;Appenweier;;;48.0271170;7.4406042;;;FR;Europe/Paris
;Arcachon;Arcachon;;;44.6616428;-1.1700018;;;FR;Europe/Paris
;Argentan;Argentan;;;48.7428900;-0.0223386;;;FR;Europe/Paris
;Argentine;Argentine;;;45.4942711;6.3128738;;;FR;Europe/Paris
;Argenton-sur-Creuse;Argenton-sur-Creuse;;;46.5885956;1.5190466;;;FR;Europe/Paris
;Arles;Arles;;;43.6776223;4.6309653;;;FR;Europe/Paris
;Arras;Arras;;;50.2910480;2.7772211;;;FR;Europe/Paris
;Arvant;Arvant;;;45.3654066;3.3103819;;;FR;Europe/Paris
;Aubagne;Aubagne;;;43.2924385;5.5703031;;;FR;Europe/Paris
;Aubenas Place de la Paix;Aubenas Place de la Paix;;;44.6181095;4.3892768;;;FR;Europe/Paris
;Auch;Auch;;;43.6463558;0.5850507;;;FR;Europe/Paris
;Auch Allée Baylac;Auch Allee Baylac;;;43.6478797;0.5833838;;;FR;Europe/Paris
;Aulnoye-Aymeries;Aulnoye-Aymeries;;;50.2002502;3.8336383;;;FR;Europe/Paris
;Auray;Auray;;;47.6664485;-2.9833718;;;FR;Europe/Paris
