id;name;slug;uic;uic8_sncf;latitude;longitude;parent_station_id;hub_id;country;time_zone
1;Château-Arnoux – St-Auban;chateau-arnoux-st-auban;;;44.081790;6.001625;;;FR;Europe/Paris
2;Château-Arnoux – St-Auban;chateau-arnoux-st-auban;8775123;87751230;44.061565;5.997373;1;;FR;Europe/Paris
3;Château-Arnoux Mairie;chateau-arnoux-mairie;8775122;87751222;44.063863;6.011248;1;;FR;Europe/Paris
4;Digne-les-Bains;digne-les-bains;;;44.350000;6.350000;;;FR;Europe/Paris
6;Digne-les-Bains;digne-les-bains;8775149;87751495;44.088710;6.222982;4;;FR;Europe/Paris
7;La Crau;la-crau;8775561;87755611;43.144935;6.068766;;;FR;Europe/Paris
8;Aire-sur-l’Adour;aire-sur-ladour;8767104;87671040;43.703854;-0.258269;;;FR;Europe/Paris
9;Cagnes-sur-Mer;cagnes-sur-mer;8775632;87756320;43.65813;7.14864;5768;;FR;Europe/Paris
10;Menton;menton;;;43.776486;7.504349;;;FR;Europe/Paris
11;Menton;menton;8775648;87756486;43.774444;7.493300;10;;FR;Europe/Paris
12;Menton – Garavan;menton-garavan;8775649;87756494;43.785202;7.517297;10;;FR;Europe/Paris
16;Vievola;vievola;;;;;;;FR;Europe/Paris
17;Vievola;vievola;8300618;83006189;;;16;;FR;Europe/Paris
18;Vievola;vievola;8775689;87756890;44.112556;7.562798;16;;FR;Europe/Paris
19;Mandelieu-la-Napoule;mandelieu-la-napoule;8775759;87757591;43.523903;6.941313;;;FR;Europe/Paris
23;Decazeville;decazeville;;;44.550000;2.250000;;;FR;Europe/Paris
24;Decazeville Centre;decazeville-centre;8761367;87613679;44.561434;2.255896;23;;FR;Europe/Paris
25;Viviez – Decazeville;viviez-decazeville;8761366;87613661;44.555568;2.218258;23;;FR;Europe/Paris
26;Decazeville Fontvergne;decazeville-fontvergne;8761369;87613695;44.555635;2.263741;23;;FR;Europe/Paris
27;St-Sever Calvados;st-sever-calvados;;;48.833333;-1.033333;29;;FR;Europe/Paris
28;St-Sever Centre;st-sever-centre;8741929;87419291;48.839517;-1.049283;29;;FR;Europe/Paris
29;St-Sever Calvados;st-sever-calvados;8744771;87447714;48.843608;-1.051698;;;FR;Europe/Paris
30;Vire;vire;;;48.83897;-0.88928;;;FR;Europe/Paris
31;Vire Centre;vire-centre;8744816;87448167;48.837638;-0.880538;30;;FR;Europe/Paris
32;Vire;vire;8744815;87448159;48.846329;-0.882884;30;;FR;Europe/Paris
33;Marans;marans;;;46.300000;-1.000000;;;FR;Europe/Paris
34;Marans Centre;marans-centre;8738988;87389882;46.290815;-0.979212;33;;FR;Europe/Paris
